id	url	distrito	barrio	price (€)	bedrooms	area (m2)	floor	lift	street type	street	street_number
99205141	https://www.idealista.com/inmueble/99205141/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	170000	4	140	1	no	avenida	 de dénia	45
102406871	https://www.idealista.com/inmueble/102406871/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	111000	2	65	1	no	calle	 del arquitecto vidal	5
103425146	https://www.idealista.com/inmueble/103425146/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	130000	2	82	4	yes	calle	 impresor fernandez planelles	9
103416458	https://www.idealista.com/inmueble/103416458/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	225000	3	111	2	no	calle	 antonio maura	17
102651472	https://www.idealista.com/inmueble/102651472/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	129000	3	71		no			
103271662	https://www.idealista.com/inmueble/103271662/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	160000	3	80	4	yes	calle	 del ingeniero canales	41
102281014	https://www.idealista.com/inmueble/102281014/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	129000	3	78	6	yes	avenida	 del padre espla	49
102473720	https://www.idealista.com/inmueble/102473720/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	186000	2	87	4	yes	calle	 turina	2
102629304	https://www.idealista.com/inmueble/102629304/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	110000	2	75	0	no	calle	 celia valls	2
103290715	https://www.idealista.com/inmueble/103290715/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	105000	3	80	2	no	calle	 virgen de las injurias	
103410337	https://www.idealista.com/inmueble/103410337/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	120000	3	71	5	yes	calle	 inmaculada del pla	
103393439	https://www.idealista.com/inmueble/103393439/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	139000	3	70	1	no	calle	 algar	
101714948	https://www.idealista.com/inmueble/101714948/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	198000	3	112	12	yes	avenida	 de denia	45
101319381	https://www.idealista.com/inmueble/101319381/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	110000	1	50	3	no	calle	 virgen de la paloma	5
101745416	https://www.idealista.com/inmueble/101745416/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	229900	4	162	1	yes			6
100685868	https://www.idealista.com/inmueble/100685868/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	195000	3	95	3	no	calle	 del arquitecto vidal	7
103282455	https://www.idealista.com/inmueble/103282455/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	129000	4	83	2	yes			
102975951	https://www.idealista.com/inmueble/102975951/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	176000	2	87	3	yes	calle	 turina	
101460133	https://www.idealista.com/inmueble/101460133/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	108000	3	80	1	no	calle	 de miguel jiménez reyes	24
95720608	https://www.idealista.com/inmueble/95720608/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	414000	4	195			calle	 san benito	
103310436	https://www.idealista.com/inmueble/103310436/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	85000	1	115	0	no			
102346687	https://www.idealista.com/inmueble/102346687/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	147000	4	115	1	yes	calle	 impresor fernandez planelles	
98832370	https://www.idealista.com/inmueble/98832370/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	164000	4	105	5	yes	calle	 general elizaicin	
102666519	https://www.idealista.com/inmueble/102666519/	pla-del-bon-repos-la-goleta-san-anton	pla-del-bon-repos-la-goteta	94000	3	65	3	no	avenida	 del padre espla	
